0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,Carbon steel,Bar,SA–675,55,,,,1.0,1.0,380,190.0,NP,343 (Cl. 3 only),NP,NP,CS–1,,108.0,108.0,108.0,108.0,108.0,108.0,104.0,98.8,96.1,92.9,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–134,A283C,K02401,,,1.0,1.0,380,205.0,NP,149 (Cl. 3 only),NP,NP,CS–2,W12,108.0,108.0,108.0,108.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–283,C,K02401,,,1.0,1.0,380,205.0,NP,149 (Cl. 3 only),343,343,CS–2,,108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–285,C,K02801,,,1.0,1.0,380,205.0,482,371,482,343,CS–2,"G10, S1, T2",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. & wld. pipe,SA–333,1,K03008,,,1.0,1.0,380,205.0,NP,371,343,343,CS–2,"W12, W14",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. & wld. tube,SA–334,1,K03008,,,1.0,1.0,380,205.0,NP,371,343,343,CS–2,"W12, W14",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–334,1,K03008,,,1.0,1.0,380,205.0,NP,NP,343,343,CS–2,"G24, W6",92.4,92.4,92.4,92.4,92.4,92.4,92.4,90.8,88.7,86.2,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–516,55,K01800,,,1.0,1.0,380,205.0,454,371,538,343,CS–2,"G10, S1, T2",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Smls. pipe,SA–524,II,K02104,,,1.0,1.0,380,205.0,NP,NP,538,343,CS–2,"G10, T2",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–671,CA55,K02801,,,1.0,1.0,380,205.0,NP,371,NP,NP,CS–2,"S6, W10, W12",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–671,CE55,K02202,,,1.0,1.0,380,205.0,NP,371,NP,NP,CS–2,"S6, W10, W12",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,A55,K02801,,,1.0,1.0,380,205.0,NP,371,NP,NP,CS–2,"S6, W10, W12",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,B55,K02001,,,1.0,1.0,380,205.0,NP,371,NP,NP,CS–2,"S6, W10, W12",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,C55,K01800,,,1.0,1.0,380,205.0,NP,371,NP,NP,CS–2,"S6, W10, W12",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,E55,K02202,,,1.0,1.0,380,205.0,NP,371,NP,NP,CS–2,"S6, W10, W12",108.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Sheet,SA–414,C,K02503,,,1.0,1.0,380,230.0,NP,371,482,343,CS–2,"G10, T1",108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,106.0,88.8,75.2,62.6,45.9,28.2,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/EN 10028–3,P275NH,,,≤60,1.0,1.0,390,,NP,NP,204,204,CS–2,"G10, G18",111.0,111.0,111.0,111.0,111.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Bar,SA–36,,K02600,,,1.0,1.0,400,250.0,343,343 (SPT),482,343,CS–2,"G10, G15, T1",114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,105.0,88.9,75.3,62.6,45.9,28.2,,,,,,,,,,,,,,,,,
,Carbon steel,"Plate, sheet",SA–36,,K02600,,,1.0,1.0,400,250.0,NP,371,343,343,CS–2,"G9, G10, T1",114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,105.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Plate, sheet",SA–662,A,K01701,,,1.0,1.0,400,275.0,NP,NP,371,343,CS–2,T1,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,105.0,,,,,,,,,,,,,,,,,,,,,,
(23),Carbon steel,"Sheet, strip",SA–1011,36,SS,Type 2,t ≤ 6,,,400,250.0,NP,NP,316,316,CS–2,,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,,,,,,,,,,,,,,,,,,,,,,,(23)
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250A,,,t > 40,1.0,1.0,410,230.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,116.0,113.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250BR,,,t > 40,1.0,1.0,410,230.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,116.0,113.0,,,,,,,,,,,,,,,,,,,,,,,
(23),Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250 B0,,,t > 40,1.0,1.0,410,230.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,116.0,113.0,,,,,,,,,,,,,,,,,,,,,,,(23)
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250C,,,t > 40,1.0,1.0,410,230.0,NP,NP,343,NP,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,116.0,113.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250A,,,20 < t ≤ 40,1.0,1.0,410,240.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250BR,,,20 < t ≤ 40,1.0,1.0,410,240.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,
(23),Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250 B0,,,20 < t ≤ 40,1.0,1.0,410,240.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,(23)
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250C,,,20 < t ≤ 40,1.0,1.0,410,240.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/EN 10028–2,P265GH,,,≤60,1.0,1.0,410,245.0,NP,NP,371,NP,CS–2,T1,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,106.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. tube,SA/EN 10216–2,P265GH,,,40 < t ≤ 60,1.0,1.0,410,245.0,538,NP,538,NP,CS–2,"G10, S1, T1",117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250A,,,t ≤ 20,1.0,1.0,410,250.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250BR,,,t ≤ 20,1.0,1.0,410,250.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,
(23),Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250 B0,,,t ≤ 20,1.0,1.0,410,250.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,(23)
,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250C,,,t ≤ 20,1.0,1.0,410,250.0,NP,NP,343,343,CS–2,,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. tube,SA/EN 10216–2,P265GH,,,16 < t ≤ 40,1.0,1.0,410,255.0,538,NP,538,NP,CS–2,"G10, S1, T1",117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Smls. tube,SA/EN 10216–2,P265GH,,,t ≤ 16,1.0,1.0,410,265.0,538,NP,538,NP,CS–2,"G10, S1, T1",117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Forgings,SA–181,,K03502,60,,1.0,1.0,415,205.0,538,371,538,343,CS–2,"G10, S1, T2",118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Castings,SA–216,WCA,J02502,,,1.0,1.0,415,205.0,538,371,538,343,CS–2,"G1, G10, G17, S1, T2",118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Forgings,SA–266,1,K03506,,,1.0,1.0,415,205.0,538,371,538,343,CS–2,"G10, S1, T2",118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Forgings,SA–350,LF1,K03009,1,,1.0,1.0,415,205.0,NP,371,538,343,CS–2,"G10, T2",118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Castings,SA–352,LCA,J02504,,,1.0,1.0,415,205.0,NP,371,NP,NP,CS–2,G17,118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Cast pipe,SA–660,WCA,J02504,,,1.0,1.0,415,205.0,538,371,NP,NP,CS–2,"G1, G10, G17, S1, T2",118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Bar,SA–675,60,,,,1.0,1.0,415,205.0,454,371 (SPT),NP,NP,CS–2,"G10, G15, S1, T2",118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,,,,,,,,,,,,,,,,,,
,Carbon steel,Bar,SA–675,60,,,,1.0,1.0,415,205.0,NP,343 (Cl. 3 only),482,343,CS–2,"G10, G22, T2",118.0,118.0,118.0,118.0,118.0,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,,,,,,,,,,,,,,,,,
